COLUMNS:
Time, 
Rjoint_cyl1:r:z:rad, 
Ujoint_z1:r:z:rad, 
Ujoint_y1:r:y:rad, 
Sjoint_z1:r:z:rad, 
Sjoint_y1:r:y:rad, 
Sjoint_x1:r:x:rad, 
Rjoint_cyl2:r:z:rad, 
Ujoint_z2:r:z:rad, 
Ujoint_y2:r:y:rad, 
Rjoint_cyl3:r:z:rad, 
Ujoint_z3:r:z:rad, 
Ujoint_y3:r:y:rad, 
Rjoint_cyl4:r:z:rad, 
Ujoint_z4:r:z:rad, 
Ujoint_y4:r:y:rad, 
Rjoint_cyl5:r:z:rad, 
Ujoint_z5:r:z:rad, 
Ujoint_y5:r:y:rad, 
Rjoint_cyl6:r:z:rad, 
Ujoint_z6:r:z:rad, 
Ujoint_y6:r:y:rad, 
DATA:
0, 1.20609, -1.57904, -0.131498, 1.93168, -0.969138, 0.120216, 1.20609, -1.57904, 0.131498, 1.33185, -1.72864, -0.129763, 1.41154, -1.81812, 0.132589, 1.41154, -1.81812, -0.132589, 1.33185, -1.72864, 0.129763
0.05, 1.20846, -1.58201, -0.131434, 1.92885, -0.968939, 0.127562, 1.20399, -1.5764, 0.13156, 1.32561, -1.72183, -0.129933, 1.40775, -1.81396, 0.132383, 1.41509, -1.82202, -0.132783, 1.33806, -1.73539, 0.129608
0.1, 1.21109, -1.5853, -0.131369, 1.9257, -0.968706, 0.135116, 1.20216, -1.57411, 0.131619, 1.31935, -1.71497, -0.130117, 1.40375, -1.80954, 0.132166, 1.41841, -1.82563, -0.132961, 1.34422, -1.74205, 0.12947
0.15, 1.21397, -1.58891, -0.131303, 1.92224, -0.968438, 0.142858, 1.2006, -1.57216, 0.131675, 1.31309, -1.70808, -0.130313, 1.39954, -1.80487, 0.131939, 1.42148, -1.82896, -0.133123, 1.35032, -1.74862, 0.129349
0.2, 1.2171, -1.59283, -0.131236, 1.91846, -0.968133, 0.15077, 1.19932, -1.57058, 0.131726, 1.30685, -1.70118, -0.130518, 1.39513, -1.79997, 0.131707, 1.4243, -1.832, -0.133266, 1.35633, -1.75508, 0.129248
0.25, 1.22047, -1.59704, -0.13117, 1.91439, -0.967793, 0.158833, 1.19833, -1.56935, 0.131774, 1.30065, -1.69427, -0.130731, 1.39054, -1.79483, 0.13147, 1.42686, -1.83474, -0.13339, 1.36225, -1.76142, 0.129168
0.3, 1.22407, -1.60153, -0.131105, 1.91002, -0.967415, 0.167025, 1.19762, -1.56848, 0.131816, 1.29449, -1.68739, -0.130949, 1.38576, -1.78947, 0.131231, 1.42915, -1.83718, -0.133492, 1.36804, -1.76762, 0.129108
0.35, 1.2279, -1.6063, -0.131042, 1.90537, -0.967, 0.175327, 1.19719, -1.56798, 0.131853, 1.28841, -1.68054, -0.131171, 1.38082, -1.78391, 0.130993, 1.43117, -1.8393, -0.133572, 1.37371, -1.77366, 0.129071
0.4, 1.23194, -1.61132, -0.130982, 1.90044, -0.966546, 0.183717, 1.19705, -1.56785, 0.131885, 1.28241, -1.67374, -0.131394, 1.37572, -1.77816, 0.130757, 1.4329, -1.84112, -0.13363, 1.37923, -1.77953, 0.129055
0.45, 1.23619, -1.61658, -0.130924, 1.89525, -0.966055, 0.192174, 1.1972, -1.56808, 0.13191, 1.27651, -1.66702, -0.131616, 1.37049, -1.77222, 0.130527, 1.43436, -1.84261, -0.133664, 1.38458, -1.78523, 0.129062
